Key,File,Type,english,schinese,tchinese
bank_01,POI,POIName,Piggy Bank,小猪储蓄所,小豬儲蓄所
bank_02,POI,POIName,Seemore Bank,西摩尔银行,西摩爾銀行
bar_01,POI,POIName,Buzz's Bar,嗡嗡酒吧,嗡嗡酒吧
barn_01,POI,POIName,Hay Dude Fields,干草佬田地,乾草佬田地
barn_02,POI,POIName,Mason's Barn,梅森谷仓,梅森穀倉
barn_03,POI,POIName,Boar Barn Fields,野猪谷仓田地,野豬穀倉田地
base_military_01,POI,POIName,U.S. Army Post #7,美军第7哨所,美軍第7哨所
base_survivor_02,POI,POIName,The Rejekts Gang Outpost,弃民帮前哨站,棄民幫前哨站
base_survivor_03,POI,POIName,Quiet Pines Community,静松社区,靜松社區
body_shop_01,POI,POIName,Collision Center,碰撞维修中心,碰撞維修中心
bombshelter_01,POI,POIName,Bart's Salvage,巴特废品站,巴特廢品站
bombshelter_02,POI,POIName,Hexagon Hideaway,六角避难所,六角避難所
bombshelter_05,POI,POIName,Bunker Buildsite #5,5号地堡工地,5號地堡工地
bombshelter_06,POI,POIName,Best Pals Shelter,挚友庇护所,摯友庇護所
bombshelter_07,POI,POIName,Navezgane Civil Defense Shelter,纳维加纳民防地堡,納維迦納民防地堡
bombshelter_08,POI,POIName,Tracey Family Shelter,特雷西家族地堡,特雷西家族地堡
bombshelter_09,POI,POIName,Duck Station,鸭子地堡,鴨子地堡
bombshelter_11,POI,POIName,USA #1 Type Bunker,美式1号地堡,美式1號地堡
bowling_alley_01,POI,POIName,Pineballs Bowling,松果保龄球馆,松果保齡球館
bowling_alley_02,POI,POIName,Ballzstrike Bowling,全中保龄球馆,全中保齡球館
bunker_00,POI,POIName,Area 7,7号区,7號區
business_burnt_01,POI,POIName,O'malley Oats,奥马利燕麦店,奧馬利燕麥店
business_burnt_02,POI,POIName,Navezgane Creamery,纳维加纳乳品厂,納維迦納乳品廠
business_ultramodern_06,POI,POIName,Aeon Amp Lounge,永恒之安夜店,永恆之安夜店
cabin_01,POI,POIName,Willy's Cabin,威利小屋,威利小屋
cabin_02,POI,POIName,Marvin's Getaway,马文小屋,馬文小屋
cabin_03,POI,POIName,The Harrison Residence,哈里森小屋,哈里森小屋
cabin_04,POI,POIName,Wilbur's Place,威尔伯小屋,威爾伯小屋
cabin_05,POI,POIName,Shawn's Shack,肖恩小屋,肖恩小屋
cabin_06,POI,POIName,Roberts Tack Shack,罗伯茨马具小屋,羅伯茨馬具小屋
cabin_07,POI,POIName,The TJ Morales Residence,TJ·莫拉莱斯小屋,TJ·莫拉萊斯小屋
cabin_08,POI,POIName,Johnson Family Cabin,约翰逊家族小屋,詹森家族小屋
cabin_09,POI,POIName,Skeeter's Place,斯基特小屋,斯基特小屋
cabin_10,POI,POIName,The Knowbly Cabin,诺布里小屋,諾布裡小屋
cabin_11,POI,POIName,New Life Hope Cabin,新生希望小屋,新生希望小屋
cabin_12,POI,POIName,Allistair's Cabin,阿利斯泰尔小屋,阿利斯泰爾小屋
cabin_13,POI,POIName,The Gladue Residence,格拉杜小屋,格拉杜小屋
cabin_14,POI,POIName,The Burns Cabin,伯恩斯小屋,伯恩斯小屋
cabin_15,POI,POIName,The Presley Dwellers,普雷斯利小屋,普雷斯利小屋
cabin_16,POI,POIName,The Broken Axe,断斧小屋,斷斧小屋
cabin_17,POI,POIName,The Engall's Residence,恩格尔小屋,恩格爾小屋
cabin_18,POI,POIName,Our Best Moments,难忘时光小屋,難忘時光小屋
cabin_20,POI,POIName,The Fire Pit Lodge,篝火旅舍,篝火旅舍
canyon_cliff_dwellings,POI,POIName,Canyon Cliff Dwellings,峡谷崖居,峽谷崖居
canyon_gift_shop,POI,POIName,Canyon Gift Shop & Diner,峡谷礼品店与小餐馆,峽谷禮品店與小餐館
canyon_mine,POI,POIName,Canyon Mine,峡谷矿场,峽谷礦場
carlot_01,POI,POIName,Joey's Carlot,乔伊二手车场,喬伊二手車場
carlot_02,POI,POIName,Carl's Cars,卡尔车行,卡爾車行
cave_01,POI,POIName,Steer Gulch,牛犊峡谷,牛犢峽谷
cave_02,POI,POIName,Pete's Hidey Hole,皮特藏身处,皮特藏身處
cave_03,POI,POIName,Mushroom Mining Company,蘑菇矿业公司,蘑菇礦業公司
cave_04,POI,POIName,Hobo Cave,流浪汉洞穴,流浪漢洞穴
cave_05,POI,POIName,Nav Mt. Cave,纳维山矿洞,納維山礦洞
cave_06,POI,POIName,Corkscrew Caverns,螺旋洞穴,螺旋洞穴
cave_07,POI,POIName,Rotten Cavern,腐烂洞穴,腐爛洞穴
cave_09,POI,POIName,Aranea Caverns,阿拉尼亚洞穴,阿拉尼亞洞穴
cave_10,POI,POIName,Crossvein Caverns,交脉洞穴,交脈洞穴
cave_11,POI,POIName,Carlsgood Caverns,卡尔斯巴德洞穴,卡爾斯巴德洞穴
cave_12,POI,POIName,Spelunker's Surprise,探洞者的惊喜,探洞者的驚喜
cave_14,POI,POIName,The Secret Chamber,密室,密室
cave_17,POI,POIName,Nameless Caverns,无名洞穴,無名洞穴
cave_18,POI,POIName,Devil's Cauldron,恶魔坩埚,惡魔坩堝
cave_19,POI,POIName,The Breather's Pocket,喘息者之囊,喘息者之囊
cave_20,POI,POIName,The Eater's Gate,吞噬者之门,吞噬者之門
cemetery_01,POI,POIName,Mausoleums,陵墓群,陵墓群
cemetery_02,POI,POIName,Crypts,地下墓穴,地下墓穴
church_01,POI,POIName,St. Moe's Cathedral,圣莫大教堂,聖莫大教堂
church_02,POI,POIName,Old Creepy Church,老恐怖教堂,老恐怖教堂
church_sm_01,POI,POIName,Navezgane Church of Brick,纳维加纳砖砌教堂,納維迦納磚砌教堂
city_center_01,POI,POIName,Olgiddy & Brother Advertising,奥格迪兄弟广告公司,奧格迪兄弟廣告公司
commercial_strip_01,POI,POIName,Shady Square Shoppe,幽影广场商铺,幽影廣場商鋪
commercial_strip_02,POI,POIName,Treats Terrace,美食露台,美食露臺
commercial_strip_03,POI,POIName,Vick Garrison's Pedipawn,维克·加里森的典当行,維克·加里森的典當行
commercial_strip_04,POI,POIName,Smorgasbord Square,百味广场,百味廣場
commercial_strip_05,POI,POIName,Elzner's Emporium,埃尔茨纳商场,埃爾茨納商場
commercial_strip_07,POI,POIName,Elite Essentials,精英生活馆,精英生活館
country_junkyard_01,POI,POIName,Junkin,废品站,廢品站
country_junkyard_02,POI,POIName,Atlas Metal Company,阿特拉斯金属公司,阿特拉斯金屬公司
countrytown_business_01,POI,POIName,Bigg Buns,大面包房,大麵包房
countrytown_business_02,POI,POIName,Federal Appliance,联邦电器行,聯邦電器行
countrytown_business_03,POI,POIName,The Bear Den,熊窝酒馆,熊窩酒館
countrytown_business_04,POI,POIName,Aldos Cabinet,奥尔多橱柜店,奧爾多櫥櫃店
countrytown_business_05,POI,POIName,Butcher Pete's,屠夫皮特肉铺,屠夫皮特肉鋪
countrytown_business_06,POI,POIName,Red Ruby's,红宝石餐厅,紅寶石餐廳
countrytown_business_07,POI,POIName,Maggie's Corner Cafe,玛吉街角咖啡馆,瑪姬街角咖啡館
countrytown_business_08,POI,POIName,Wildfire Camping,野火户外用品店,野火戶外用品店
countrytown_business_09,POI,POIName,4 Ever Video,永恒影像店,永恆影像店
countrytown_business_10,POI,POIName,Bobcats Bar,山猫酒吧,山貓酒吧
countrytown_business_11,POI,POIName,Midway Clinic,中途诊所,中途診所
countrytown_business_12,POI,POIName,Jim & Tim's Bullets and Booze,吉姆和蒂姆的子弹与烈酒,吉姆和蒂姆的子彈與烈酒
countrytown_business_13,POI,POIName,The Dead Rooster,死公鸡酒馆,死公雞酒館
countrytown_business_14,POI,POIName,Grumpy's Pub,暴躁酒馆,暴躁酒館
countrytown_business_15,POI,POIName,Uncle Ray's Supermarket,雷叔叔超市,雷叔叔超市
countrytown_business_16,POI,POIName,Crazy Billy's Used Cars,疯比利二手车行,瘋比利二手車行
countrytown_business_17,POI,POIName,Glove Affair Boxing Gym,拳套情缘拳击馆,拳套情緣拳擊館
courthouse_med_01,POI,POIName,Town Hall,市政厅,市政廳
departure_city_blk_01,POI,POIName,Departure,启程市,啟程市
departure_city_blk_plaza,POI,POIName,Departure Plaza,启程广场,啟程廣場
diersville_city_blk_01,POI,POIName,Diersville,迪尔斯维尔市,迪爾斯維爾市
diersville_city_blk_02,POI,POIName,Diersville,迪尔斯维尔市,迪爾斯維爾市
diersville_city_sign_01,POI,POIName,Diersville,迪尔斯维尔市,迪爾斯維爾市
diner_01,POI,POIName,The Greasy Spoon,油腻勺子小餐馆,油膩勺子小餐館
diner_02,POI,POIName,Bob's Cafe,鲍勃咖啡馆,鮑勃咖啡館
diner_03,POI,POIName,Del's Cafe,戴尔咖啡馆,戴爾咖啡館
diner_04,POI,POIName,Dick's Diner,迪克小餐馆,迪克小餐館
diner_07,POI,POIName,Navezgane Falls Diner,纳维加纳瀑布小餐馆,納維迦納瀑布小餐館
docks_01,POI,POIName,BJ's Gas Dock,BJ的加油站码头,BJ的加油站碼頭
docks_02,POI,POIName,Pal's Marina,帕尔船坞,帕爾船塢
docks_03,POI,POIName,Haulwell Freight,豪威尔货运码头,豪威爾貨運碼頭
docks_04,POI,POIName,Middleman Docks,中间人码头,中間人碼頭
docks_05,POI,POIName,Live Bait Dock,活饵码头,活餌碼頭
downtown_building_01,POI,POIName,Buy-N-Go Apartments,买即走公寓,買即走公寓
downtown_building_02,POI,POIName,Pergola Apartments,藤架公寓,藤架公寓
downtown_building_03,POI,POIName,Stand Tower,斯坦德大厦,斯坦德大廈
downtown_building_04,POI,POIName,Blaze & Burns Offices,布雷兹与伯恩斯律师事务所,佈雷茲與伯恩斯律師事務所
downtown_building_05,POI,POIName,Bombshell News,爆炸性新闻社,爆炸性新聞社
downtown_business_06,POI,POIName,Special Totz,特殊儿童用品店,特殊兒童用品店
downtown_business_07,POI,POIName,Doggos,狗狗宠物店,狗狗寵物店
downtown_filler_01,POI,POIName,Lazy Fitness,懒人健身馆,懶人健身館
downtown_filler_02,POI,POIName,Le Spank,打屁屁俱乐部,打屁屁俱樂部
downtown_filler_03,POI,POIName,Schittz Law,希茨律师事务所,希茨律師事務所
downtown_filler_05,POI,POIName,Trilogy Suites,三部曲套房,三部曲套房
downtown_filler_06,POI,POIName,Downtown Apartments,市中心公寓,市中心公寓
downtown_filler_07,POI,POIName,Dumpsy Clinic,邓普西诊所,鄧蒲賽診所
downtown_filler_09,POI,POIName,Century Outlet,世纪折扣店,世紀折扣店
downtown_filler_11,POI,POIName,Fit Box,健力盒健身馆,健力盒健身館
downtown_filler_12,POI,POIName,Town Square Apartments,镇广场公寓,鎮廣場公寓
downtown_filler_13,POI,POIName,Luigi's Pizza,路易吉披萨店,路易吉披薩店
downtown_filler_14,POI,POIName,Post Office Apartment,邮局公寓楼,郵局公寓樓
downtown_filler_15,POI,POIName,Downtown Shamway,市中心山威超市,市中心山威超市
downtown_filler_22,POI,POIName,Gonuts Donuts,疯狂甜甜圈,瘋狂甜甜圈
downtown_filler_23,POI,POIName,HNN Bank,HNN银行,HNN銀行
downtown_filler_24,POI,POIName,Ann Hoing's Telemarketing,安·霍英电话营销公司,安·霍英電話行銷公司
downtown_filler_25,POI,POIName,Mamma Pizza,妈妈披萨店,媽媽披薩店
downtown_filler_27,POI,POIName,OK Laundry,OK洗衣店,OK洗衣店
downtown_filler_30,POI,POIName,KLZ Radio,KLZ广播电台,KLZ廣播電臺
downtown_filler_31,POI,POIName,Downtown MeltDowns,市中心熔岩汉堡,市中心熔岩漢堡
downtown_filler_park_01,POI,POIName,Loan Tree Park,借贷树公园,借貸樹公園
downtown_filler_park_02,POI,POIName,Gazebo Park,凉亭公园,涼亭公園
downtown_filler_park_03,POI,POIName,Crosswalk Park,人行横道公园,人行橫道公園
downtown_filler_park_04,POI,POIName,Detour Park,绕行公园,繞行公園
downtown_filler_park_05,POI,POIName,Arch Park,拱门公园,拱門公園
downtown_filler_plaza_01,POI,POIName,Obelisk Plaza,方尖碑广场,方尖碑廣場
downtown_filler_plaza_02,POI,POIName,Square Water Plaza,方水广场,方水廣場
downtown_filler_plaza_03,POI,POIName,Step Water Plaza,阶梯水广场,階梯水廣場
downtown_filler_plaza_04,POI,POIName,Garden Plaza,花园广场,花園廣場
downtown_filler_plaza_05,POI,POIName,Memorial Plaza,纪念广场,紀念廣場
downtown_park_01,POI,POIName,Shady Pointe Park,幽影角公园,幽影角公園
downtown_park_02,POI,POIName,Federal Plaza,联邦广场,聯邦廣場
downtown_park_03,POI,POIName,Civic Square,市民广场,市民廣場
downtown_parking_lot_01,POI,POIName,Downtown Evacuation Point,市中心疏散点,市中心疏散點
downtown_strip_01,POI,POIName,Flushing Rule Palace,冲水规则宫殿(厕所),沖水規則宮殿(廁所)
downtown_strip_02,POI,POIName,Richard Munchz Plaza,理查德·芒奇兹广场,理查·芒奇茲廣場
downtown_strip_03,POI,POIName,Pete's Outlet,皮特折扣店,皮特折扣店
downtown_strip_04,POI,POIName,Joe's Junction,乔氏路口,喬氏路口
downtown_strip_05,POI,POIName,Downtown Marketplace,市中心集市,市中心集市
downtown_strip_07,POI,POIName,Heart's Rent-a-Car,哈特租车行,哈特租車行
downtown_strip_09,POI,POIName,Pop's Pawn & Bel's Bakery,老爹典当行与贝尔面包店,老爹典當行與貝爾麵包店
downtown_strip_10,POI,POIName,The Boobie Trap,波霸陷阱(夜店),波霸陷阱(夜店)
downtown_strip_11,POI,POIName,Diamond's Mens Club,钻石男士俱乐部,鑽石男士俱樂部
downtown_strip_12,POI,POIName,NFD Downtown HQ,纳维加纳消防局市中心总部,納維迦納消防局市中心總部
factory_01,POI,POIName,Shamway Factory,山威食品厂,山威食品廠
factory_02,POI,POIName,Shotgun Messiah Factory,霰弹枪救星工厂,霰彈槍救星工廠
factory_03,POI,POIName,Pop-N-Pills Factory,快克药业工厂,快克藥業工廠
farm_01,POI,POIName,Jericho Ranch,耶利哥牧场,耶利哥牧場
farm_02,POI,POIName,Scarecrow Fields,稻草人田,稻草人田
farm_03,POI,POIName,Huenink Family Farms,休宁克家族农场,休寧克家族農場
farm_04,POI,POIName,Animal Hospital,动物医院,動物醫院
farm_05,POI,POIName,Fiery Farms,炽焰农场,熾焰農場
farm_06,POI,POIName,Fortified Farm,堡垒农场,堡壘農場
farm_07,POI,POIName,The Shady Swine,幽影猪场,幽影豬場
farm_08,POI,POIName,Sweet Sweet Honey Pot Farms,甜甜蜂蜜罐农场,甜甜蜂蜜罐農場
farm_10,POI,POIName,Red Barn Bed-n-Bath,红谷仓家居店,紅穀倉家居店
farm_11,POI,POIName,Smithstone Silos,史密史东粮仓,史密史東糧倉
farm_12,POI,POIName,Abandoned Shady Shed Farms,废弃荫棚农场,廢棄蔭棚農場
farm_13,POI,POIName,Mason Farms,梅森农场,梅森農場
farm_14,POI,POIName,Hersh Farm,赫什农场,赫什農場
farm_15,POI,POIName,Hogzilla Ranch LLC,猪斯拉牧场,豬斯拉牧場
farm_16,POI,POIName,Judie Witch,朱迪女巫小屋,裘蒂女巫小屋
farm_17,POI,POIName,McPherson UFO Museum,麦克弗森UFO博物馆,麥克弗森UFO博物館
farm_20,POI,POIName,Sprout & Sons Nursery,斯普劳特父子苗圃,斯普勞特父子苗圃
fastfood_01,POI,POIName,Prowlin Petes,潜行者皮特快餐,潛行者皮特速食
fastfood_02,POI,POIName,Hurry Harry's,匆忙哈里快餐,匆忙哈裡速食
fastfood_03,POI,POIName,Blue Birdie,蓝色小鸟快餐,藍色小鳥速食
fastfood_04,POI,POIName,Fats Foods,肥仔快餐,肥仔速食
fastfood_05,POI,POIName,Beavers Restaurant,海狸餐厅,海狸餐廳
fastfood_06,POI,POIName,The Burgcaneer,汉堡海盗快餐,漢堡海盜速食
fastfood_07,POI,POIName,NEW Mamma Pizza,新妈妈披萨店,新媽媽披薩店
field_concert_01,POI,POIName,Shady Woods Amphitheatre,幽影林露天剧场,幽影林露天劇場
fire_station_01,POI,POIName,Fire Station 7,7号消防站,7號消防站
fire_station_02,POI,POIName,Fire Station 8,8号消防站,8號消防站
fire_station_03,POI,POIName,Navezgane Fire District #3,纳维加纳消防局第3分局,納維迦納消防局第3分局
fire_station_04,POI,POIName,NFD Engine 4,纳维加纳消防局4号消防站,納維迦納消防局4號消防站
football_stadium,POI,POIName,Navezgane Athletics Complex,纳维加纳体育中心,納維迦納體育中心
funeral_home_01,POI,POIName,Am-I-Gone Funeral Home,我走了吗殡仪馆,我走了嗎殯儀館
gas_station_01,POI,POIName,Pass-N-Gas Store #01,通燃加油站 #01,通燃加油站 #01
gas_station_02,POI,POIName,Pass-N-Gas Store #02,通燃加油站 #02,通燃加油站 #02
gas_station_03,POI,POIName,Pass-N-Gas Store #03,通燃加油站 #03,通燃加油站 #03
gas_station_04,POI,POIName,Pass-N-Gas Store #04,通燃加油站 #04,通燃加油站 #04
gas_station_05,POI,POIName,Pass-N-Gas Store #05,通燃加油站 #05,通燃加油站 #05
gas_station_06,POI,POIName,Pass-N-Gas Store #06,通燃加油站 #06,通燃加油站 #06
gas_station_07,POI,POIName,Pass-N-Gas Store #07,通燃加油站 #07,通燃加油站 #07
gas_station_08,POI,POIName,Pass-N-Gas Store #08,通燃加油站 #08,通燃加油站 #08
gas_station_09,POI,POIName,Pass-N-Gas Store #09,通燃加油站 #09,通燃加油站 #09
gas_station_10,POI,POIName,Pass-N-Gas Store #10,通燃加油站 #10,通燃加油站 #10
gas_station_11,POI,POIName,Jerry's Fill,杰瑞加油站,傑瑞加油站
gas_station_12,POI,POIName,Pass-N-Gas Plaza,通燃加油站广场,通燃加油站廣場
gravestowne_city_blk_01,POI,POIName,Gravestowne,格雷夫斯敦市,格雷夫斯敦市
gravestowne_city_blk_half,POI,POIName,Gravestowne,格雷夫斯敦市,格雷夫斯敦市
gravestowne_city_blk_quarter,POI,POIName,Gravestowne,格雷夫斯敦市,格雷夫斯敦市
gravestowne_city_sign_01,POI,POIName,Gravestowne,格雷夫斯敦市,格雷夫斯敦市
gravestowne_street_crater_01,POI,POIName,Gravestowne,格雷夫斯敦市,格雷夫斯敦市
hospital_01,POI,POIName,Navezgane General Hospital,纳维加纳综合医院,納維迦納綜合醫院
hotel_01,POI,POIName,Hotel Zombona,僵尸波纳酒店,僵屍波納酒店
hotel_02,POI,POIName,Haven Hotel,避风港酒店,避風港酒店
hotel_03,POI,POIName,7 Days Suites,7日套房酒店,7日套房酒店
hotel_04,POI,POIName,Calm Inn,宁静客栈,寧靜客棧
hotel_new_01,POI,POIName,Sandy Springs Hotel,沙泉酒店,沙泉酒店
hotel_ostrich,POI,POIName,Ostrich Hotel,鸵鸟酒店,鴕鳥酒店
house_burnt_01,POI,POIName,The Owens Residence,欧文斯宅邸,歐文斯宅邸
house_burnt_02,POI,POIName,The Paciotti Residence,帕乔蒂宅邸,帕喬蒂宅邸
house_burnt_03,POI,POIName,The Jacobs Residence,雅各布斯宅邸,雅各斯宅邸
house_burnt_04,POI,POIName,The Rendon Residence,伦登宅邸,倫登宅邸
house_burnt_05,POI,POIName,The Byington Residence,拜因顿宅邸,拜因頓宅邸
house_burnt_06,POI,POIName,Seedy Manor,破败庄园,破敗莊園
house_construction_01,POI,POIName,The Roland Residence,罗兰宅邸,羅蘭宅邸
house_construction_02,POI,POIName,Kodiak Construction,科迪亚克建筑工地,科迪亞克建築工地
house_construction_03,POI,POIName,Garage 1st Construction,头牌车库建筑工地,頭牌車庫建築工地
house_construction_04,POI,POIName,Deracinated Domicile,连根宅邸,連根宅邸
house_construction_05,POI,POIName,OLD - Uninhabited Mansion,废弃宅邸(旧),廢棄宅邸(舊)
house_country_01,POI,POIName,Wango Barndo,忘戈仓改屋,忘戈倉改屋
house_modern_01,POI,POIName,The Nairn Residence,奈恩宅邸,奈恩宅邸
house_modern_02,POI,POIName,The Nightstar Residence,夜星宅邸,夜星宅邸
house_modern_03,POI,POIName,The Draycott Residence,德雷科特宅邸,德雷科特宅邸
house_modern_04,POI,POIName,The Erickson Residence,埃里克森宅邸,埃裡克森宅邸
house_modern_05,POI,POIName,The Se?or Drogas Residence,毒枭宅邸,毒梟宅邸
house_modern_06,POI,POIName,The Barniskis Residence,巴尼斯基斯宅邸,巴尼斯基斯宅邸
house_modern_07,POI,POIName,The LaGrega Residence,拉格雷加宅邸,拉格雷加宅邸
house_modern_08,POI,POIName,The Contino Residence,康蒂诺宅邸,康蒂諾宅邸
house_modern_09,POI,POIName,The Rua Residence,鲁阿宅邸,魯阿宅邸
house_modern_10,POI,POIName,Bullis-Bates Estate,布利斯-贝茨庄园,布利斯-貝茨莊園
house_modern_11,POI,POIName,The Strogatz Residence,施特罗加茨宅邸,施特羅加茨宅邸
house_modern_12,POI,POIName,The Eisele Residence,艾瑟勒宅邸,艾瑟勒宅邸
house_modern_13,POI,POIName,The Hinton Residence,欣顿宅邸,欣頓宅邸
house_modern_14,POI,POIName,The Bennett Residence,班尼特宅邸,班尼特宅邸
house_modern_15,POI,POIName,The Burnett Residence,伯内特宅邸,伯內特宅邸
house_modern_16,POI,POIName,The Haug Residence,豪格宅邸,豪格宅邸
house_modern_17,POI,POIName,The Sinkhole House,天坑房屋,天坑房屋
house_modern_18,POI,POIName,Don Vittorio Spagetto Residence,唐·维托里奥·斯帕盖托宅邸,唐·維托裡奧·斯帕蓋托宅邸
house_modern_19,POI,POIName,"The ""Broken Dreams"" house","""破碎梦想""之屋","""破碎夢想""之屋"
house_modern_20,POI,POIName,The Barbosa Residence,巴尔博萨宅邸,巴爾博薩宅邸
house_modern_21,POI,POIName,The Hellenes Residence,赫伦尼斯宅邸,赫倫尼斯宅邸
house_modern_22,POI,POIName,The Johansen Residence,约翰森宅邸,約翰森宅邸
house_modern_23,POI,POIName,Dormer Residence,老虎窗宅邸,老虎窗宅邸
house_modern_24,POI,POIName,Jeffelon Zuckergates Estate,杰弗隆·扎克盖茨庄园,傑弗隆·紮克蓋茨莊園
house_modern_25,POI,POIName,Rosilyn Residence,罗西林宅邸,羅西林宅邸
house_modern_26,POI,POIName,Casa de Machina,机械之屋,機械之屋
house_modern_27,POI,POIName,OLD - Almeida Residence,阿尔梅达宅邸(旧),阿爾梅達宅邸(舊)
house_modern_28,POI,POIName,Casa De Vino,酒庄,酒莊
house_modern_29,POI,POIName,Don Diego Estate,唐·迭戈庄园,唐·迭戈莊園
house_modern_30,POI,POIName,Towersley Estate,托尔斯利庄园,托爾斯利莊園
house_modern_31,POI,POIName,Dr. Karen Higashi Residence,凯伦·东博士宅邸,凱倫·東博士宅邸
house_old_bungalow_01,POI,POIName,The Vaecon Residence,瓦肯宅邸,瓦肯宅邸
house_old_bungalow_02,POI,POIName,T. Thornbury Residence,T·桑伯里宅邸,T·桑伯裡宅邸
house_old_bungalow_03,POI,POIName,Home of Jack Canada,杰克·加拿大家园,傑克·加拿大家園
house_old_bungalow_04,POI,POIName,The Wotton Residence,沃顿宅邸,沃頓宅邸
house_old_bungalow_05,POI,POIName,The Klemm Residence,克莱姆宅邸,克萊姆宅邸
house_old_bungalow_06,POI,POIName,A Sewage Problem,排污问题房屋,排汙問題房屋
house_old_bungalow_07,POI,POIName,Film Fanatic's house,电影迷之屋,電影迷之屋
house_old_bungalow_08,POI,POIName,The McKean Residence,麦基恩宅邸,麥基恩宅邸
house_old_bungalow_09,POI,POIName,The Powell Residence,鲍威尔宅邸,鮑威爾宅邸
house_old_bungalow_10,POI,POIName,The Crow Residence,乌鸦宅邸,烏鴉宅邸
house_old_bungalow_11,POI,POIName,Johnnytown,强尼镇,強尼鎮
house_old_bungalow_12,POI,POIName,The Reber Residence,雷伯宅邸,雷伯宅邸
house_old_cottage_01,POI,POIName,Cobweb Cottage,蛛网小屋,蛛網小屋
house_old_gambrel_01,POI,POIName,The Hestnes Residence,赫斯特内斯宅邸,赫斯特內斯宅邸
house_old_gambrel_02,POI,POIName,The Richmond Residence,里士满宅邸,里士滿宅邸
house_old_gambrel_03,POI,POIName,Bob's Boars & Carl's Corn,鲍勃野猪&卡尔玉米场,鮑勃野豬&卡爾玉米場
house_old_gambrel_04,POI,POIName,Bert Englund Residence,伯特·恩格伦德宅邸,伯特·恩葛籣德宅邸
house_old_mansard_01,POI,POIName,The Brown Residence,布朗宅邸,布朗宅邸
house_old_mansard_02,POI,POIName,The Mortician's house,殡葬师之屋,殯葬師之屋
house_old_mansard_03,POI,POIName,The Brett Residence,布雷特宅邸,佈雷特宅邸
house_old_mansard_04,POI,POIName,The Hyde Residence,海德宅邸,海德宅邸
house_old_mansard_05,POI,POIName,Huskie Manor,哈士奇庄园,哈士奇莊園
house_old_mansard_06,POI,POIName,The Fates Motel,命运汽车旅馆,命運汽車旅館
house_old_mansard_07,POI,POIName,The Wright Residence,赖特宅邸,賴特宅邸
house_old_modular_01,POI,POIName,The Purser Residence,事务长宅邸,事務長宅邸
house_old_modular_02,POI,POIName,Bill Gearz Place,比尔·吉尔斯之家,比爾·吉爾斯之家
house_old_modular_03,POI,POIName,The Animal Hoarder,动物囤积者之家,動物囤積者之家
house_old_modular_04,POI,POIName,The Wagner Residence,瓦格纳宅邸,瓦格納宅邸
house_old_modular_05,POI,POIName,The Gilbert Residence,吉尔伯特宅邸,吉伯特宅邸
house_old_modular_06,POI,POIName,The Cook's Residence,库克宅邸,庫克宅邸
house_old_modular_07,POI,POIName,Spark's Place,斯帕克之家,斯派克之家
house_old_modular_08,POI,POIName,The Pawtato Residence,爪土豆宅邸,爪土豆宅邸
